order_id,customer_id,order_date,order_timestamp,status,payment_method,shipping_city,shipping_state,shipping_zip,subtotal,shipping_cost,tax,total
22,10831,2023-08-29,2023-08-29 18:22:53,completed,apple_pay,East Elizabeth,HI,60484,598.63,0.0,51.6,650.23
23,8863,2023-10-18,2023-10-18 14:55:46,delivered,credit_card,West Michaelville,OH,01920,25.5,7.54,1.62,34.66
24,2790,2023-09-27,2023-09-27 07:49:40,delivered,credit_card,Crystalland,VT,25115,827.65,0.0,70.51,898.16
25,5186,2023-12-01,2023-12-01 17:21:34,delivered,credit_card,Dianechester,PR,14178,130.0,0.0,10.53,140.53
26,6540,2023-07-27,2023-07-27 20:44:40,refunded,credit_card,Port Lauren,IN,39975,5.84,5.71,0.55,12.1
27,11555,2023-04-16,2023-04-16 20:03:31,delivered,paypal,Billyberg,MT,51835,611.78,0.0,58.04,669.82
28,10158,2023-05-04,2023-05-04 20:15:06,delivered,paypal,Ianview,VI,15404,328.69,0.0,16.78,345.47
29,7431,2023-10-25,2023-10-25 06:41:00,completed,apple_pay,Barbaraberg,ID,00551,84.77,0.0,6.54,91.31
30,518,2024-11-24,2024-11-24 02:44:39,delivered,debit_card,Susanborough,ME,95052,867.3,0.0,49.67,916.97
31,10003,2023-12-17,2023-12-17 08:54:32,delivered,debit_card,Kathyfurt,NV,84802,116.58,0.0,6.47,123.05
32,3235,2024-11-27,2024-11-27 04:20:46,completed,debit_card,South Pamelaland,NJ,60540,478.86,0.0,40.35,519.21
33,10236,2024-11-21,2024-11-21 15:12:50,completed,credit_card,Ruizmouth,MD,82213,613.69,0.0,48.49,662.18
34,6265,2024-09-25,2024-09-25 09:09:03,completed,credit_card,Laurafurt,CO,21136,527.28,0.0,27.19,554.47
35,1955,2024-08-19,2024-08-19 11:19:47,completed,debit_card,New Andreastad,IL,39580,1600.44,0.0,112.16,1712.6
36,3240,2023-09-14,2023-09-14 16:23:54,delivered,debit_card,South Gary,IL,02859,848.34,0.0,71.53,919.87
37,1385,2023-10-15,2023-10-15 20:36:45,shipped,paypal,Ortizhaven,MN,67585,827.75,0.0,47.39,875.14
38,9931,2023-10-31,2023-10-31 12:33:15,delivered,paypal,East Brandon,VA,31092,1492.98,0.0,138.9,1631.88
39,9587,2023-01-11,2023-01-11 22:38:38,shipped,paypal,North Mark,PR,19941,2597.5,0.0,174.79,2772.29
40,5594,2023-11-25,2023-11-25 21:36:21,shipped,paypal,Haynesview,CO,84523,486.32,0.0,48.49,534.81
41,8931,2024-12-24,2024-12-24 17:15:11,delivered,debit_card,New Troy,FM,56702,425.91,0.0,36.84,462.75
42,6278,2023-05-07,2023-05-07 18:42:14,delivered,credit_card,Adamsport,ID,18840,349.96,0.0,28.99,378.95
43,6101,2024-12-18,2024-12-18 18:11:42,cancelled,debit_card,New Jared,MT,05644,447.06,0.0,27.29,474.35
44,8973,2024-11-29,2024-11-29 18:48:46,completed,apple_pay,New Emily,MD,14374,343.23,0.0,27.87,371.1
45,11857,2024-06-04,2024-06-04 22:50:08,returned,credit_card,North Claudia,WY,36711,706.52,0.0,58.14,764.66
46,3120,2024-02-29,2024-02-29 09:01:27,delivered,credit_card,Ericton,MH,09622,1394.28,0.0,83.37,1477.65
47,3235,2023-11-20,2023-11-20 11:41:41,shipped,credit_card,South Pamelaland,NJ,60540,2900.7,0.0,216.12,3116.82
48,2691,2023-12-16,2023-12-16 10:23:42,shipped,paypal,Nelsonfort,IL,77228,449.81,0.0,41.8,491.61
49,1685,2023-04-28,2023-04-28 14:57:07,returned,credit_card,East Deborahhaven,MT,02607,67.61,0.0,5.02,72.63
50,518,2023-06-11,2023-06-11 02:42:25,shipped,credit_card,Susanborough,ME,95052,1947.07,0.0,186.34,2133.41
51,2088,2023-08-12,2023-08-12 07:06:13,completed,debit_card,Johnathanside,SD,42264,99.25,0.0,6.87,106.12
52,1488,2023-11-29,2023-11-29 14:55:38,delivered,credit_card,Charlesmouth,NC,52464,140.84,0.0,11.6,152.44
53,6721,2023-04-18,2023-04-18 11:55:06,completed,credit_card,Robinsonshire,WI,01381,356.99,0.0,25.89,382.88
54,7514,2023-09-13,2023-09-13 19:52:15,completed,credit_card,South Ashley,NC,68725,561.27,0.0,55.61,616.88
55,8941,2024-04-29,2024-04-29 13:15:16,cancelled,credit_card,South Amanda,MS,67891,177.69,0.0,13.86,191.55
56,10219,2024-03-02,2024-03-02 12:20:34,completed,paypal,Westbury,TX,40388,28.33,5.92,2.12,36.37
57,7264,2024-04-26,2024-04-26 04:20:57,delivered,credit_card,Smithbury,AK,87291,3482.39,0.0,287.32,3769.71
58,4211,2024-09-19,2024-09-19 13:45:42,delivered,google_pay,Perezshire,DE,22063,661.57,0.0,37.66,699.23
59,3922,2023-12-15,2023-12-15 21:36:45,delivered,gift_card,South Taraberg,MH,04178,114.14,0.0,7.79,121.93
60,11200,2024-08-03,2024-08-03 17:06:55,delivered,paypal,Lake Jennifer,WY,78082,3013.42,0.0,154.82,3168.24
61,1807,2023-12-09,2023-12-09 02:12:38,completed,apple_pay,South Natasha,KY,01216,706.42,0.0,37.89,744.31
62,6848,2024-05-22,2024-05-22 12:01:32,delivered,credit_card,Joshuaport,MT,88418,206.19,0.0,15.94,222.13
63,3027,2024-07-21,2024-07-21 09:05:05,returned,credit_card,Nelsonmouth,FM,34618,2243.39,0.0,199.18,2442.57
64,5292,2024-12-29,2024-12-29 15:45:56,delivered,credit_card,North Frankstad,NY,05058,1230.34,0.0,66.28,1296.62
65,3235,2023-02-26,2023-02-26 14:32:35,delivered,credit_card,South Pamelaland,NJ,60540,297.31,0.0,28.34,325.65
66,3228,2024-08-09,2024-08-09 18:58:26,cancelled,credit_card,Chaveztown,IL,11389,522.28,0.0,34.23,556.51
67,10662,2023-10-30,2023-10-30 17:47:44,refunded,credit_card,South Samanthaland,ME,06843,190.49,0.0,17.79,208.28
68,6509,2024-12-17,2024-12-17 02:03:39,completed,credit_card,Martinezborough,PA,20213,66.62,0.0,6.07,72.69
69,3572,2024-12-15,2024-12-15 18:11:16,completed,credit_card,Edwardstad,IL,19087,274.05,0.0,24.26,298.31
70,8138,2024-12-11,2024-12-11 14:17:23,shipped,google_pay,Gonzalezshire,OH,61056,96.43,0.0,7.37,103.8
71,4879,2023-01-19,2023-01-19 11:35:41,completed,debit_card,East Misty,NJ,74291,213.1,0.0,14.71,227.81
72,7262,2023-05-28,2023-05-28 19:00:06,delivered,paypal,West Williamview,MT,95677,281.02,0.0,16.09,297.11
73,2718,2023-12-02,2023-12-02 12:22:13,completed,gift_card,Samanthafort,IL,58394,125.44,0.0,7.72,133.16
74,1958,2023-06-01,2023-06-01 16:02:04,cancelled,gift_card,New Edwardburgh,AK,37568,449.71,0.0,31.54,481.25
75,5523,2024-06-01,2024-06-01 13:12:22,completed,debit_card,Williamsport,WY,35272,582.85,0.0,40.14,622.99
76,11492,2023-11-23,2023-11-23 21:16:26,delivered,google_pay,West Dianaland,WY,90120,204.62,0.0,18.79,223.41
77,3235,2023-11-21,2023-11-21 15:11:45,completed,paypal,South Pamelaland,NJ,60540,2585.96,0.0,240.35,2826.31
78,2807,2023-09-16,2023-09-16 12:29:18,completed,apple_pay,Graceshire,LA,33289,946.59,0.0,54.78,1001.37
79,3498,2024-02-22,2024-02-22 08:00:38,pending,credit_card,East Jenniferview,OR,89719,157.91,0.0,14.61,172.52
80,11543,2024-04-02,2024-04-02 13:17:22,shipped,apple_pay,East Jamesside,GU,73542,1217.49,0.0,118.39,1335.88
81,8973,2023-07-23,2023-07-23 14:00:06,delivered,paypal,New Emily,MD,14374,1507.22,0.0,136.17,1643.39
82,8654,2023-12-18,2023-12-18 18:42:00,completed,debit_card,Williamshaven,MH,13965,443.92,0.0,31.51,475.43
83,3235,2023-11-28,2023-11-28 19:03:30,completed,apple_pay,South Pamelaland,NJ,60540,161.67,0.0,9.74,171.41
84,3235,2024-04-29,2024-04-29 19:17:29,cancelled,debit_card,South Pamelaland,NJ,60540,1472.54,0.0,112.98,1585.52
85,9669,2023-04-18,2023-04-18 09:59:10,completed,credit_card,West Matthew,MH,37199,113.55,0.0,11.24,124.79
86,5697,2023-08-22,2023-08-22 18:15:35,cancelled,debit_card,East Steventown,IA,53974,889.48,0.0,78.24,967.72
87,3258,2023-07-07,2023-07-07 08:15:17,completed,paypal,Barnesfort,CA,66947,541.96,0.0,34.4,576.36
88,3235,2024-02-12,2024-02-12 15:38:01,delivered,apple_pay,South Pamelaland,NJ,60540,1871.62,0.0,153.96,2025.58
89,3235,2024-10-19,2024-10-19 11:53:30,completed,paypal,South Pamelaland,NJ,60540,331.45,0.0,31.31,362.76
90,3235,2023-11-20,2023-11-20 10:42:55,completed,debit_card,South Pamelaland,NJ,60540,129.55,0.0,7.64,137.19
91,3944,2024-07-26,2024-07-26 19:30:47,delivered,paypal,Davidburgh,ID,80212,454.78,0.0,34.63,489.41
92,2880,2024-04-24,2024-04-24 08:09:30,completed,credit_card,Tommyshire,CT,80801,342.37,0.0,21.79,364.16
93,7264,2024-05-20,2024-05-20 11:12:00,delivered,apple_pay,Smithbury,AK,87291,364.26,0.0,18.25,382.51
94,9142,2023-09-17,2023-09-17 20:14:05,delivered,debit_card,Joelmouth,IL,35301,1155.4,0.0,62.5,1217.9
95,4268,2023-07-10,2023-07-10 16:00:00,completed,credit_card,Wallacemouth,IL,19765,347.49,0.0,23.42,370.91
96,3235,2023-12-08,2023-12-08 07:25:13,completed,credit_card,South Pamelaland,NJ,60540,1437.65,0.0,75.0,1512.65
97,8418,2023-03-27,2023-03-27 13:09:02,completed,debit_card,Webbton,PA,77299,142.44,0.0,13.41,155.85
98,5246,2023-08-08,2023-08-08 08:01:59,delivered,paypal,Peckton,MH,89697,438.59,0.0,42.39,480.98
99,9329,2024-11-22,2024-11-22 11:19:00,delivered,paypal,East Elizabethview,GA,08368,113.55,0.0,8.64,122.19
100,2935,2023-01-20,2023-01-20 09:06:39,shipped,apple_pay,Jenniferburgh,AL,27891,293.3,0.0,18.65,311.95
101,3235,2024-11-22,2024-11-22 08:42:50,shipped,debit_card,South Pamelaland,NJ,60540,35.96,9.12,2.76,47.84
102,11492,2024-12-07,2024-12-07 15:18:57,shipped,credit_card,West Dianaland,WY,90120,180.28,0.0,13.56,193.84
103,5266,2024-12-20,2024-12-20 12:40:46,completed,credit_card,Lake Lisastad,NY,97799,58.24,0.0,4.26,62.5
104,3235,2024-10-17,2024-10-17 20:47:15,returned,paypal,South Pamelaland,NJ,60540,116.54,0.0,10.97,127.51
105,3235,2024-08-21,2024-08-21 11:40:39,returned,google_pay,South Pamelaland,NJ,60540,40.68,8.5,2.21,51.39
106,2090,2023-06-05,2023-06-05 09:29:33,delivered,debit_card,Port Jill,NV,32865,4357.02,0.0,359.89,4716.91
107,3956,2024-09-22,2024-09-22 13:29:39,delivered,apple_pay,New Joseph,NM,66644,436.3,0.0,36.21,472.51
108,11733,2023-12-05,2023-12-05 14:56:03,completed,credit_card,East Anthony,KS,28335,1080.04,0.0,73.77,1153.81
109,98,2024-08-21,2024-08-21 17:12:25,returned,apple_pay,Jenniferview,NE,49846,579.93,0.0,37.37,617.3
110,2548,2024-01-16,2024-01-16 14:57:48,completed,credit_card,Lake Dean,NE,44158,53.03,0.0,5.07,58.1
111,10450,2024-11-12,2024-11-12 14:02:19,returned,credit_card,Kingmouth,SC,30924,22.65,4.44,2.21,29.3
112,1462,2023-11-25,2023-11-25 10:11:58,shipped,debit_card,Wesleymouth,WA,29794,1314.07,0.0,129.55,1443.62
113,292,2024-12-12,2024-12-12 18:13:40,completed,debit_card,Rodriguezton,SD,33130,29.5,8.11,2.77,40.38
114,3944,2024-05-18,2024-05-18 00:54:16,returned,google_pay,Davidburgh,ID,80212,3942.88,0.0,256.49,4199.37
115,3235,2024-02-10,2024-02-10 12:15:24,completed,debit_card,South Pamelaland,NJ,60540,327.09,0.0,23.67,350.76
116,5524,2024-02-12,2024-02-12 21:40:30,cancelled,paypal,New Jessicafort,ME,26528,3207.09,0.0,221.6,3428.69
117,3235,2024-03-15,2024-03-15 12:23:09,completed,paypal,South Pamelaland,NJ,60540,221.41,0.0,18.66,240.07
118,10119,2024-01-22,2024-01-22 11:56:00,delivered,debit_card,Elliottland,FM,28445,184.99,0.0,17.45,202.44
119,8766,2024-02-22,2024-02-22 18:22:05,returned,paypal,Crystalstad,OH,30386,556.23,0.0,45.13,601.36
120,4479,2023-11-18,2023-11-18 17:32:19,cancelled,paypal,South Chelseamouth,FL,10028,531.1,0.0,29.23,560.33
121,6357,2023-10-15,2023-10-15 14:33:54,shipped,credit_card,Maldonadostad,FL,58769,2402.64,0.0,125.48,2528.12
122,4251,2023-11-30,2023-11-30 11:25:17,completed,paypal,New Steven,FL,09574,658.23,0.0,36.99,695.22
123,2533,2023-12-05,2023-12-05 18:12:20,completed,debit_card,Karenville,GU,95353,2083.25,0.0,118.28,2201.53
124,11933,2024-08-22,2024-08-22 20:52:04,completed,paypal,North Brandonbury,WA,45422,670.39,0.0,46.97,717.36
125,10278,2023-08-13,2023-08-13 12:39:26,completed,apple_pay,New Heatherview,OH,36218,221.22,0.0,21.95,243.17
126,9587,2023-08-26,2023-08-26 13:06:25,cancelled,credit_card,North Mark,PR,19941,93.2,0.0,7.52,100.72
127,930,2024-04-29,2024-04-29 12:28:52,returned,credit_card,Downsfort,VI,77985,97.97,0.0,7.16,105.13
128,3235,2024-08-25,2024-08-25 12:45:52,delivered,paypal,South Pamelaland,NJ,60540,341.48,0.0,28.96,370.44
129,10315,2023-10-14,2023-10-14 18:08:23,delivered,credit_card,Ramseyport,DC,19961,1522.96,0.0,137.44,1660.4
130,1299,2023-12-19,2023-12-19 09:34:12,completed,debit_card,Warrenfurt,ME,67367,6856.11,0.0,617.82,7473.93
131,502,2024-12-18,2024-12-18 18:26:23,refunded,apple_pay,Jenniferside,AR,09318,468.21,0.0,36.63,504.84
132,3235,2023-11-23,2023-11-23 18:39:46,delivered,debit_card,South Pamelaland,NJ,60540,634.86,0.0,58.89,693.75
133,10874,2023-09-30,2023-09-30 15:54:26,delivered,paypal,North Marcusstad,AR,31691,648.72,0.0,52.56,701.28
134,11989,2023-09-24,2023-09-24 13:51:55,shipped,credit_card,West Samuelstad,AK,92029,1302.18,0.0,90.74,1392.92
135,749,2024-08-21,2024-08-21 19:09:01,delivered,paypal,Garciaport,PA,54308,128.76,0.0,10.81,139.57
136,9428,2023-03-04,2023-03-04 20:37:03,shipped,gift_card,East Bobby,VI,39389,961.49,0.0,80.92,1042.41
137,2210,2024-11-20,2024-11-20 18:23:58,delivered,paypal,Garciashire,OH,04490,1615.38,0.0,109.13,1724.51
138,6101,2024-07-09,2024-07-09 09:27:34,delivered,credit_card,New Jared,MT,05644,2350.55,0.0,219.86,2570.41
139,4871,2024-02-06,2024-02-06 12:08:49,delivered,credit_card,East Annaport,HI,91855,270.4,0.0,14.17,284.57
140,8143,2024-11-01,2024-11-01 19:27:40,completed,credit_card,East Richardtown,WI,42211,603.4,0.0,53.97,657.37
141,4226,2023-10-05,2023-10-05 09:39:16,returned,credit_card,Taylorland,KS,01483,3957.29,0.0,222.91,4180.2
142,6269,2023-03-21,2023-03-21 11:13:11,completed,debit_card,Wilsonstad,LA,98021,589.58,0.0,51.79,641.37
143,3235,2023-12-23,2023-12-23 11:16:13,refunded,paypal,South Pamelaland,NJ,60540,1433.52,0.0,76.54,1510.06
144,11963,2024-12-18,2024-12-18 09:55:19,delivered,credit_card,Kayleeland,MD,07580,87.61,0.0,4.6,92.21
145,8060,2023-02-11,2023-02-11 11:54:00,delivered,debit_card,Lake Elizabeth,IA,10672,796.0,0.0,57.54,853.54
146,3235,2024-02-07,2024-02-07 16:51:07,completed,credit_card,South Pamelaland,NJ,60540,854.74,0.0,53.83,908.57
147,5028,2023-11-20,2023-11-20 19:13:56,cancelled,credit_card,Lake Davidview,KY,45664,490.58,0.0,35.55,526.13
148,4417,2023-02-20,2023-02-20 08:19:11,delivered,credit_card,Joneston,DE,64045,79.24,0.0,4.48,83.72
149,6048,2024-04-13,2024-04-13 22:00:10,pending,credit_card,New Gregoryfort,MI,08650,346.54,0.0,17.72,364.26
150,11694,2023-02-11,2023-02-11 08:45:28,delivered,debit_card,Mendozahaven,KY,67144,1697.59,0.0,106.1,1803.69
151,1615,2024-04-16,2024-04-16 09:00:34,delivered,gift_card,Wardmouth,NY,42447,358.25,0.0,27.05,385.3
152,6721,2024-11-20,2024-11-20 15:59:49,delivered,paypal,Robinsonshire,WI,01381,233.54,0.0,17.23,250.77
153,5044,2023-01-03,2023-01-03 09:32:53,shipped,credit_card,Lake Christina,MP,27862,57.0,0.0,3.71,60.71
154,5822,2023-03-01,2023-03-01 13:35:44,cancelled,credit_card,North Wesley,NY,04930,52.02,0.0,4.31,56.33
155,10119,2023-06-04,2023-06-04 15:54:46,cancelled,debit_card,Elliottland,FM,28445,1043.96,0.0,80.32,1124.28
156,3976,2024-04-19,2024-04-19 21:43:26,pending,google_pay,Heathershire,MT,85781,223.2,0.0,20.47,243.67
157,5372,2024-04-23,2024-04-23 13:12:19,completed,paypal,New Dianaside,VI,83980,3011.62,0.0,195.0,3206.62
158,3956,2024-01-28,2024-01-28 19:22:50,shipped,gift_card,New Joseph,NM,66644,610.23,0.0,58.9,669.13
159,6768,2024-12-31,2024-12-31 19:50:01,completed,paypal,Tranland,IN,17048,909.59,0.0,52.97,962.56
160,3235,2024-09-22,2024-09-22 20:32:21,completed,paypal,South Pamelaland,NJ,60540,320.42,0.0,17.62,338.04
161,4012,2024-04-07,2024-04-07 19:12:04,delivered,google_pay,West Mario,SD,22680,23.3,7.52,1.69,32.51
162,8654,2023-10-23,2023-10-23 22:46:27,completed,google_pay,Williamshaven,MH,13965,157.76,0.0,9.63,167.39
163,7264,2023-11-30,2023-11-30 09:00:51,delivered,debit_card,Smithbury,AK,87291,1311.69,0.0,130.67,1442.36
164,2053,2023-04-12,2023-04-12 14:54:54,cancelled,paypal,South Kyleport,LA,10293,135.98,0.0,7.98,143.96
165,10221,2024-09-24,2024-09-24 19:16:40,shipped,apple_pay,Lake Julie,ID,42012,374.24,0.0,37.13,411.37
166,11435,2024-11-14,2024-11-14 08:05:02,delivered,credit_card,Norrisport,PR,96416,507.79,0.0,33.24,541.03
167,9796,2023-03-10,2023-03-10 12:16:03,completed,debit_card,Port Dianestad,OK,24371,1069.73,0.0,102.26,1171.99
168,5611,2023-12-21,2023-12-21 19:41:53,completed,apple_pay,Kimberlyville,KS,96218,361.92,0.0,25.55,387.47
169,337,2024-11-30,2024-11-30 15:15:23,cancelled,credit_card,Ronaldville,PA,59518,942.22,0.0,88.33,1030.55
170,10236,2023-01-23,2023-01-23 16:51:30,completed,credit_card,Ruizmouth,MD,82213,1405.35,0.0,108.56,1513.91
171,8502,2024-08-26,2024-08-26 08:13:37,delivered,credit_card,Thomasland,FL,39774,678.79,0.0,59.09,737.88
172,6343,2023-07-28,2023-07-28 18:08:21,delivered,paypal,Dennishaven,AZ,07591,159.38,0.0,9.1,168.48
173,10489,2024-08-31,2024-08-31 09:00:45,completed,debit_card,Port Emilymouth,NM,77097,24.22,5.79,2.02,32.03
174,6088,2023-12-23,2023-12-23 15:57:41,cancelled,credit_card,Port Michelletown,IL,77336,45.81,4.44,2.36,52.61
175,5835,2023-04-09,2023-04-09 13:01:37,delivered,paypal,North Amanda,GU,63715,1455.16,0.0,115.57,1570.73
176,8002,2023-01-31,2023-01-31 15:17:53,completed,paypal,West Matthewport,WI,63892,899.84,0.0,58.13,957.97
177,3903,2023-12-22,2023-12-22 11:43:39,refunded,credit_card,West Jorge,KY,02989,22.97,8.23,2.03,33.23
178,2554,2023-07-11,2023-07-11 20:18:30,delivered,credit_card,New Barbara,IN,48146,853.96,0.0,68.76,922.72
179,1385,2023-06-12,2023-06-12 08:39:37,delivered,debit_card,Ortizhaven,MN,67585,28.33,4.09,2.61,35.03
180,3235,2024-03-01,2024-03-01 14:12:07,refunded,debit_card,South Pamelaland,NJ,60540,493.67,0.0,41.83,535.5
181,512,2023-09-14,2023-09-14 06:00:47,cancelled,credit_card,Jacobland,WA,06218,2505.65,0.0,153.46,2659.11
182,668,2023-02-11,2023-02-11 19:14:27,completed,credit_card,Deanshire,MP,03568,342.97,0.0,23.25,366.22
183,9050,2023-11-05,2023-11-05 22:14:04,completed,paypal,Gabrielhaven,IL,45918,136.23,0.0,8.51,144.74
184,6531,2023-12-15,2023-12-15 12:28:21,delivered,paypal,South Edward,WV,68372,352.59,0.0,31.97,384.56
185,1291,2024-12-01,2024-12-01 15:09:13,delivered,credit_card,New Christinefurt,MD,73357,281.86,0.0,18.06,299.92
186,5838,2024-09-21,2024-09-21 19:50:06,shipped,credit_card,East Colleen,NJ,50030,227.47,0.0,19.96,247.43
187,10799,2023-11-08,2023-11-08 16:16:50,delivered,debit_card,Garciaton,IL,63044,79.03,0.0,5.1,84.13
188,4544,2024-01-12,2024-01-12 18:56:41,delivered,paypal,Hurstberg,MO,46914,839.78,0.0,46.89,886.67
189,3235,2024-12-04,2024-12-04 21:38:03,cancelled,google_pay,South Pamelaland,NJ,60540,40.38,9.13,2.53,52.04
190,3235,2024-04-29,2024-04-29 19:06:26,shipped,google_pay,South Pamelaland,NJ,60540,1708.56,0.0,163.72,1872.28
191,8160,2023-05-30,2023-05-30 11:41:59,delivered,credit_card,Kylebury,GA,92505,625.44,0.0,57.97,683.41
192,6848,2024-09-05,2024-09-05 14:51:47,pending,apple_pay,Joshuaport,MT,88418,1295.97,0.0,87.52,1383.49
193,3235,2024-12-18,2024-12-18 21:30:32,completed,credit_card,South Pamelaland,NJ,60540,189.82,0.0,13.84,203.66
194,3235,2023-11-25,2023-11-25 11:13:00,shipped,debit_card,South Pamelaland,NJ,60540,85.67,0.0,4.68,90.35
195,1464,2023-01-04,2023-01-04 20:52:20,refunded,paypal,West Michaelstad,OK,29211,55.09,0.0,4.23,59.32
196,5015,2024-11-05,2024-11-05 15:34:31,completed,credit_card,Lake Christophershire,CT,09853,378.95,0.0,20.4,399.35
197,10768,2024-09-22,2024-09-22 18:57:59,completed,paypal,Matthewside,OH,45269,81.39,0.0,4.73,86.12
198,3956,2023-04-16,2023-04-16 16:13:42,completed,google_pay,New Joseph,NM,66644,268.64,0.0,15.98,284.62
199,5372,2023-02-13,2023-02-13 22:52:14,refunded,credit_card,New Dianaside,VI,83980,445.55,0.0,33.94,479.49
200,5692,2023-12-30,2023-12-30 18:19:10,delivered,debit_card,Bruceland,UT,05986,371.92,0.0,28.25,400.17
201,1916,2023-11-30,2023-11-30 10:28:22,returned,paypal,Ellisville,OR,58124,615.73,0.0,52.6,668.33
202,3117,2023-08-24,2023-08-24 12:42:26,completed,paypal,Ashleymouth,DE,65509,44.58,9.42,4.28,58.28
203,6884,2024-06-18,2024-06-18 13:36:43,cancelled,debit_card,Port Cynthiamouth,HI,51002,2670.27,0.0,170.58,2840.85
204,6149,2023-12-01,2023-12-01 04:53:00,shipped,google_pay,Donnashire,ME,58019,137.74,0.0,11.41,149.15
205,3235,2024-11-02,2024-11-02 21:45:37,completed,credit_card,South Pamelaland,NJ,60540,587.57,0.0,37.66,625.23
206,5346,2024-12-05,2024-12-05 08:59:59,delivered,paypal,Cummingshaven,AS,59659,195.21,0.0,16.74,211.95
207,8473,2024-11-20,2024-11-20 17:47:00,delivered,debit_card,Davidshire,GU,85959,256.16,0.0,13.09,269.25
208,4038,2023-04-19,2023-04-19 16:03:50,cancelled,gift_card,North Mariafort,AR,12741,788.74,0.0,40.19,828.93
209,3459,2024-02-13,2024-02-13 06:42:22,completed,debit_card,East Ashley,SC,55372,392.79,0.0,21.39,414.18
210,3235,2023-11-22,2023-11-22 12:15:07,completed,debit_card,South Pamelaland,NJ,60540,1856.84,0.0,139.51,1996.35
211,2595,2024-05-19,2024-05-19 17:57:30,completed,credit_card,South Patriciabury,NV,20130,518.22,0.0,40.1,558.32
212,3432,2024-04-12,2024-04-12 12:22:26,cancelled,debit_card,West Patrick,MD,92685,431.23,0.0,22.82,454.05
213,3155,2023-07-21,2023-07-21 04:09:30,completed,paypal,North Karen,MP,63270,74.4,0.0,5.02,79.42
214,11519,2023-06-11,2023-06-11 20:23:03,completed,credit_card,East Kenneth,MI,56357,144.65,0.0,14.31,158.96
215,932,2023-05-04,2023-05-04 07:06:20,delivered,debit_card,East Jennifer,DE,32964,897.09,0.0,50.73,947.82
216,3235,2023-12-05,2023-12-05 23:52:46,completed,apple_pay,South Pamelaland,NJ,60540,374.75,0.0,21.33,396.08
217,7959,2023-04-12,2023-04-12 05:29:48,delivered,credit_card,Benjaminborough,CT,26403,202.52,0.0,15.33,217.85
218,10450,2023-10-24,2023-10-24 11:28:02,shipped,debit_card,Kingmouth,SC,30924,5068.86,0.0,289.83,5358.69
219,9501,2023-12-06,2023-12-06 20:14:39,completed,paypal,West Courtney,PR,97369,1721.49,0.0,119.67,1841.16
